
"{'val_loss': 0.13498816519733192, 'val_acc': 0.9639865996649917, 'loss': 0.02479609893654647, 'acc': 0.99289614, 'val_aupr': 0.9888162510208991, 'val_auc': 0.99155266703795, 'val_f1': 0.9641225316858039, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 14}"
"{'val_loss': 0.27512422564155775, 'val_acc': 0.8897264098269123, 'loss': 0.4703926163693868, 'acc': 0.76764125, 'val_aupr': 0.9494613989332462, 'val_auc': 0.9558503131708594, 'val_f1': 0.8932061334054305, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 1}"
"{'val_loss': 0.17926920861388504, 'val_acc': 0.933875727845577, 'loss': 0.2137156761377651, 'acc': 0.9174157, 'val_aupr': 0.9768401000426955, 'val_auc': 0.9810270730619002, 'val_f1': 0.9349548842683405, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 2}"
"{'val_loss': 0.1413981246874075, 'val_acc': 0.951024966100343, 'loss': 0.1465162937298661, 'acc': 0.9480645, 'val_aupr': 0.9852314219933407, 'val_auc': 0.9882233180962607, 'val_f1': 0.9516611557235081, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 3}"
"{'val_loss': 0.136768419044463, 'val_acc': 0.9546542234984446, 'loss': 0.1084305625273968, 'acc': 0.96277076, 'val_aupr': 0.9870482366718569, 'val_auc': 0.9895801710324998, 'val_f1': 0.955273199323394, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 4}"
"{'val_loss': 0.12731683485895154, 'val_acc': 0.9604769881151791, 'loss': 0.08520957649046802, 'acc': 0.9713951, 'val_aupr': 0.9872064024614193, 'val_auc': 0.9907973291703457, 'val_f1': 0.9609734966329303, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 5}"
"{'val_loss': 0.12237262223300689, 'val_acc': 0.9623913216878041, 'loss': 0.0695053700836534, 'acc': 0.9768888, 'val_aupr': 0.9889952762166238, 'val_auc': 0.9919192301537053, 'val_f1': 0.9631712556141379, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 6}"
"{'val_loss': 0.1220802535487389, 'val_acc': 0.9628699050809604, 'loss': 0.057603705806915394, 'acc': 0.9813455, 'val_aupr': 0.9884321289895257, 'val_auc': 0.991725788966698, 'val_f1': 0.9634199049153276, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 7}"
"{'val_loss': 0.1160884913328381, 'val_acc': 0.965980697136476, 'loss': 0.049143115263706655, 'acc': 0.9840026, 'val_aupr': 0.9897906155331375, 'val_auc': 0.992474070787487, 'val_f1': 0.9664767144822165, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 8}"
"{'val_loss': 0.11800628694726242, 'val_acc': 0.9660604610353354, 'loss': 0.04277726762139187, 'acc': 0.9864154, 'val_aupr': 0.9900368666613277, 'val_auc': 0.9925892370753902, 'val_f1': 0.9665500569946149, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 5, 'epoch_count': 9}"
